Clabel,conductor,ainvs,rank,torsion
81328c2,81328,"[0,1,0,-424,1236]",3,2
81494a1,81494,"[1,1,0,-254,-716]",3,1
81524c1,81524,"[0,-1,0,-517,4694]",3,1
81939e1,81939,"[0,-1,1,-280,2172]",3,1
82093a1,82093,"[1,1,1,-45,106]",3,1
82146a1,82146,"[1,1,0,-2169,37989]",3,1
82174c1,82174,"[1,0,0,-1705,26841]",3,1
82288q1,82288,"[0,0,0,-419,6306]",3,1
82296i1,82296,"[0,0,0,-207,1170]",3,1
82480a1,82480,"[0,1,0,-136,660]",3,1
82538a1,82538,"[1,1,0,-18,16]",3,1
82539e1,82539,"[1,-1,1,-11,46]",3,1
82547b1,82547,"[0,0,1,-1267,17346]",3,1
82701f1,82701,"[0,0,1,-1809,29612]",3,1
82763a1,82763,"[0,-1,1,-10,22]",3,1
82808c1,82808,"[0,1,0,28,64]",3,1
83016f1,83016,"[0,0,0,-39,1226]",3,1
83105a1,83105,"[1,0,0,-3031,64086]",3,1
83111c1,83111,"[1,1,1,-42,670]",3,1
83262a1,83262,"[1,1,0,-21,9]",3,1
83350a1,83350,"[1,1,0,-400,2000]",3,1
83582g1,83582,"[1,-1,0,430,1992]",3,1
83718d1,83718,"[1,-1,0,-216,1156]",3,1
83798c1,83798,"[1,-1,1,-972,12495]",3,1
83806a1,83806,"[1,0,1,-52,114]",3,1
83876a1,83876,"[0,1,0,-125,319]",3,1
83928b1,83928,"[0,-1,0,-577,5509]",3,1
84176a1,84176,"[0,0,0,-59,-134]",3,1
84341a1,84341,"[1,1,1,-58,132]",3,1
84470b1,84470,"[1,0,1,-48,506]",3,1
84534a1,84534,"[1,1,0,-301,1885]",3,2
84534a2,84534,"[1,1,0,-421,85]",3,2
84650g1,84650,"[1,-1,0,-67,-59]",3,1
84746a1,84746,"[1,0,0,-1260,17296]",3,1
85174a1,85174,"[1,0,1,-56,6]",3,1
85222a1,85222,"[1,0,1,-40,90]",3,1
85295a1,85295,"[1,0,0,-81,286]",3,1
85318e1,85318,"[1,-1,1,-282,345]",3,1
85863a1,85863,"[0,-1,1,-232,1440]",3,1
85970a1,85970,"[1,0,1,-164,786]",3,1
86007a1,86007,"[1,1,1,-82,242]",3,1
86321a1,86321,"[1,0,0,-36,79]",3,1
86487a1,86487,"[0,-1,1,-198,2774]",3,1
86534e1,86534,"[1,0,1,-110,480]",3,1
86611a1,86611,"[0,0,1,-157,756]",3,1
86786a1,86786,"[1,0,1,-45,152]",3,1
86802i1,86802,"[1,1,0,-1334,19044]",3,1
86895f1,86895,"[0,0,1,-63,344]",3,1
86903b1,86903,"[0,1,1,115,-390]",3,1
87116c1,87116,"[0,1,0,-174,841]",3,1
87130a1,87130,"[1,-1,0,-25,25]",3,1
87194a1,87194,"[1,0,1,-37,84]",3,1
87228c1,87228,"[0,0,0,-57,785]",3,1
87289b1,87289,"[1,1,1,-132,-20]",3,1
87336g1,87336,"[0,0,0,-399,3314]",3,1
87398b1,87398,"[1,0,1,3,20]",3,1
87634a1,87634,"[1,0,1,-4358,110352]",3,1
87763b1,87763,"[1,-1,1,-588,-4872]",3,1
87837a1,87837,"[0,-1,1,-7172,236912]",3,1
87855a1,87855,"[1,1,1,-141,588]",3,1
87866a1,87866,"[1,-1,0,22,4]",3,1
87914e1,87914,"[1,0,0,5,81]",3,1
88022a1,88022,"[1,1,0,-534,4564]",3,1
88024a1,88024,"[0,0,0,14,1]",3,1
